Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AGO_Exports of goods and services (current US$),Angola,AGO,Exports of goods and services (current US$),8187952996.903439,6736804052.062975,8725781181.80023,9676099739.566221,13749769575.324308,24225663183.763935,33245105956.21897,44319695565.28101,64168383679.80124,41310593206.45117,51572818660.866516,67822745138.11691,71632934595.88573,69376269461.85345,65126113465.18492,34572954933.62926,28440561886.97769,35420915616.938576,41388899132.58834
AGO_GDP (current US$),Angola,AGO,GDP (current US$),9129594818.60749,8936063723.20121,15285594828.418001,17812705294.325,23552052407.5488,36970918699.2523,52381006892.037994,65266452081.385994,88538611205.1433,70307163678.23799,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.59,101353230784.59401
AGO_GDP per capita (current US$),Angola,AGO,GDP per capita (current US$),556.836318086553,527.333528536691,872.4944915928411,982.960899291112,1255.5640447149099,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704,3289.64666408633
AGO_Gross capital formation (% of GDP),Angola,AGO,Gross capital formation (% of GDP),30.493218976262803,30.4932189408191,30.4931731253335,30.4511106101187,30.8936687341035,27.5565797901657,23.300770922441696,25.730579355956003,30.804053175539302,42.8208588143755,28.1973097641434,26.4243536899122,26.6675788564223,26.142969345640804,27.5004618720416,34.2024891287855,27.2147084386719,24.130304582212602,17.869421152824
"AGO_Unemployment, total (% of total labor force) (modeled ILO estimate)",Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.83699989318848,3.8350000381469704,3.87100005149841,3.875,3.8420000076293905,3.79999995231628,3.71199989318848,3.63700008392334,3.61199998855591,3.78200006484985,9.43000030517578,7.361999988555911,7.37900018692017,7.400000095367429,7.330999851226809,7.28200006484985,7.22300004959106,7.11899995803833,7.019000053405759
ALB_Exports of goods and services (current US$),Albania,ALB,Exports of goods and services (current US$),700086106.3274268,836718641.2362514,910731607.953517,1169853125.64427,1596260273.1453774,1853023371.3125885,2242664372.48862,3016115601.490243,3259292016.411063,3040048179.527713,3337088824.2555404,3769453237.8949437,3565049240.0923676,3694416159.107858,3732053469.852099,3104896170.820167,3437122661.4575844,4110293870.6968827,4785182221.9258995
ALB_GDP (current US$),Albania,ALB,GDP (current US$),3480355188.6006303,3922099470.9731297,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.107809,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4706,13019693450.8816,15147020535.3869
ALB_GDP per capita (current US$),Albania,ALB,GDP per capita (current US$),1126.68331762741,1281.65939343074,1425.1248488836802,1846.11881331912,2373.57984371994,2673.78728253113,2972.7432646217603,3595.0371632151396,4370.5401269901395,4114.140114049221,4094.3503344202004,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.8012152446504,4124.055725953521,4531.0208055598605,5284.38018438156
ALB_Gross capital formation (% of GDP),Albania,ALB,Gross capital formation (% of GDP),30.7962591863962,34.9886815804971,35.264045967212795,33.8968868065619,34.1967670412024,36.8696660470205,35.697514629582294,34.4619785970732,35.778437025600795,34.5578335598682,30.3086626557515,31.4136118408633,28.328548133659602,28.052535580742003,25.674680087602102,25.819027860237302,25.2238551267199,25.052534735067,24.101025494893303
"ALB_Unemployment, total (% of total labor force) (modeled ILO estimate)",Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.5729999542236,16.5669994354248,16.6730003356934,16.6840000152588,16.5860004425049,16.4599990844727,16.195999145507802,15.9659996032715,13.0600004196167,13.673999786377001,14.086000442504899,13.480999946594201,13.376000404357901,15.8660001754761,17.4899997711182,17.0799999237061,15.220000267028801,13.75,12.3400001525879
ARG_Exports of goods and services (current US$),Argentina,ARG,Exports of goods and services (current US$),31223690399.999916,31112418399.999996,27736610298.255478,33084505277.806087,39266996605.79746,46198180131.00454,53550250227.3909,65162321195.025055,79762958392.30096,65133480388.49457,80208867995.71724,97810932629.37656,88655850853.77232,80690471898.44215,75818867911.08261,63671789068.898865,69842486095.86517,72860588696.633,75676150102.38733
ARG_GDP (current US$),Argentina,ARG,GDP (current US$),284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,557531376217.967,643628665302.668,517626700412.71796
ARG_GDP per capita (current US$),Argentina,ARG,GDP per capita (current US$),7708.1009960541405,7208.3715665121,2593.40415042466,3349.8061244115,4277.72135064389,5109.85132522621,5919.012037077529,7245.44831728945,9020.873098071941,8225.13717626412,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824669599,11633.498008646498
ARG_Gross capital formation (% of GDP),Argentina,ARG,Gross capital formation (% of GDP),17.5334874363903,15.6259653308051,10.8539052402585,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.053112359211198,17.705533806204603,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.070704884158303,17.6632278606203,18.2125671743459,16.0469030589825
"ARG_Unemployment, total (% of total labor force) (modeled ILO estimate)",Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",15.0,17.3199996948242,19.590000152587898,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881
ARM_Exports of goods and services (current US$),Armenia,ARM,Exports of goods and services (current US$),423629629.6866119,511522177.78258204,661384145.8097173,855676348.1175575,1008274439.9662578,1338475057.9490018,1413899467.4555664,1674567081.1224673,1663675191.0485122,1268730216.8858263,1828759529.0377195,2284326829.814368,2926876972.551038,3153323143.5429997,3315721203.9436355,3137020909.2223473,3558717362.882173,4405338828.347233,4907543853.583087
