Pays_indic,Country Name,Country Code,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
AGO_Exports of goods and services (% of GDP),Angola,AGO,Exports of goods and services (% of GDP),89.68583118513821,75.38894373114,57.084995904626595,54.3213373807344,58.380345531658605,65.5262677696291,63.46786350392261,67.9057833724671,72.475028472181,58.75730301894961,61.543112723153804,60.669948439018604,55.9401314050624,50.7470843910637,44.6950312503076,29.7545994933756,28.124484560559,29.004100051981503,40.836289886557395,exports_rate
AGO_Exports of goods and services (current million US$),Angola,AGO,Exports of goods and services (current million US$),8187.95299690344,6736.804052062976,8725.78118180023,9676.099739566223,13749.76957532431,24225.663183763936,33245.10595621897,44319.695565281014,64168.38367980124,41310.59320645117,51572.818660866506,67822.74513811691,71632.93459588573,69376.26946185346,65126.11346518492,34572.954933629255,28440.56188697769,35420.915616938575,41388.89913258834,exports
AGO_Exports of goods and services (current million US$) per capita,Angola,AGO,_Exports of goods and services (current million US$) per capita,0.0004994032802166452,0.00039755117710396084,0.0004980634447938668,0.0005339575064246259,0.0007330026276758341,0.0012465863602518943,0.0016498892950500834,0.002120015594337253,0.0029576634487750502,0.0018348617575862703,0.002208095370329055,0.002800202072854944,0.002853000296833926,0.002666699574714018,0.00241729076113292,0.0012398681159043572,0.0009860649272433572,0.0011879536835116484,0.0013433696479897617,exports_hab
AGO_Exports of goods and services (current million US$) per labor unit,Angola,AGO,_Exports of goods and services (current million US$) per labor unit,0.0012198362175598785,0.0009712125288853633,0.001217386543704691,0.0013041643116292793,0.001789816745119356,0.0030436712698570004,0.004032362374160429,0.005185617064036143,0.007236909787600453,0.004485722036300836,0.005394397461462971,0.006843791991262753,0.006974855870979092,0.006516269944174172,0.005901985440645341,0.0030226596986454497,0.002400369491516388,0.002887062659779837,0.0032575612717678283,exports_labor_unit
AGO_GDP (current million US$),Angola,AGO,GDP (current million US$),9129.594818607491,8936.06372320121,15285.594828418001,17812.705294325002,23552.052407548803,36970.918699252295,52381.00689203799,65266.45208138599,88538.6112051433,70307.163678238,83799.49661120039,111789.686464441,128052.853643106,136709.862831194,145712.200312505,116193.649124151,101123.851090455,122123.82233359,101353.23078459401,gdp
AGO_GDP per capita (current US$),Angola,AGO,GDP per capita (current US$),556.836318086553,527.333528536691,872.4944915928411,982.960899291112,1255.5640447149099,1902.42234554625,2599.56646397608,3121.99563726236,4080.94140992346,3122.78076649385,3587.88379824396,4615.46802807906,5100.095808097671,5254.8823379961605,5408.41049555432,4166.97968386501,3506.07288506966,4095.8129415585704,3289.64666408633,gdb_hab
AGO_Gross capital formation (% of GDP),Angola,AGO,Gross capital formation (% of GDP),30.493218976262803,30.4932189408191,30.4931731253335,30.4511106101187,30.8936687341035,27.5565797901657,23.300770922441696,25.730579355956003,30.804053175539302,42.8208588143755,28.1973097641434,26.4243536899122,26.6675788564223,26.142969345640804,27.5004618720416,34.2024891287855,27.2147084386719,24.130304582212602,17.869421152824,FBCF
"AGO_Labor force, total",Angola,AGO,"Labor force, total",6712338.0,6936488.0,7167634.0,7419387.0,7682222.0,7959356.0,8244573.0,8546658.0,8866821.0,9209352.0,9560441.0,9910112.0,10270167.0,10646623.0,11034611.0,11437925.0,11848410.0,12268842.0,12705486.0,labor_force
"AGO_Population, total",Angola,AGO,"Population, total",16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,30809762.0,pop
"AGO_Unemployment, total (% of total labor force) (modeled ILO estimate)",Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",3.83699989318848,3.8350000381469704,3.87100005149841,3.875,3.8420000076293905,3.79999995231628,3.71199989318848,3.63700008392334,3.61199998855591,3.78200006484985,9.43000030517578,7.361999988555911,7.37900018692017,7.400000095367429,7.330999851226809,7.28200006484985,7.22300004959106,7.11899995803833,7.019000053405759,unemployment rate
ALB_Exports of goods and services (% of GDP),Albania,ALB,Exports of goods and services (% of GDP),20.1153637600108,21.3334375486568,20.9456511360868,20.847451385014104,22.2175512676614,23.0129901117958,25.209596818095196,28.247867259663302,25.3024021398457,25.2407157401832,27.9794485454508,29.241500741705497,28.9374866944749,28.916353743685498,28.2129788388934,27.267393304466,28.9778642158267,31.5698206428859,31.591574136620604,exports_rate
ALB_Exports of goods and services (current million US$),Albania,ALB,Exports of goods and services (current million US$),700.0861063274268,836.7186412362514,910.7316079535171,1169.85312564427,1596.2602731453774,1853.0233713125886,2242.66437248862,3016.115601490243,3259.2920164110633,3040.048179527713,3337.0888242555397,3769.453237894944,3565.049240092367,3694.4161591078578,3732.0534698520996,3104.8961708201673,3437.122661457584,4110.293870696883,4785.1822219259,exports
ALB_Exports of goods and services (current million US$) per capita,Albania,ALB,_Exports of goods and services (current million US$) per capita,0.00022663644776411046,0.0002734220062840406,0.00029850167910086073,0.0003848687221163035,0.0005273513186573556,0.0006153184029393414,0.0007494165914482278,0.001015521325800574,0.0011058516386143666,0.0010384384113400161,0.0011455766450895958,0.001297487169671896,0.0012291573613760192,0.00127609628955068,0.0012917684755730842,0.0010778258539044696,0.0011950632684518325,0.0014304351416070894,0.0016694188836097917,exports_hab
ALB_Exports of goods and services (current million US$) per labor unit,Albania,ALB,_Exports of goods and services (current million US$) per labor unit,0.0005277865067072863,0.000636913713881815,0.0006936772284595958,0.0008998814819941647,0.001240912554141436,0.0014571024168192857,0.0017795449241565693,0.002418020619321652,0.002640531085972869,0.002478750093381934,0.002722143089599553,0.003003100922727007,0.002771286325575679,0.0030439486781719395,0.0030199518448000844,0.002407713759261026,0.002638185206317283,0.003121262533096977,0.003630578413657663,exports_labor_unit
ALB_GDP (current million US$),Albania,ALB,GDP (current million US$),3480.3551886006303,3922.09947097313,4348.07016519261,5611.49228286582,7184.6813985698,8052.0756421078095,8896.07393831407,10677.321490380698,12881.3541038398,12044.2233525413,11926.9285055231,12890.7653242256,12319.8302524768,12776.2171947928,13228.1440083428,11386.8463191589,11861.2007974706,13019.6934508816,15147.0205353869,gdp
ALB_GDP per capita (current US$),Albania,ALB,GDP per capita (current US$),1126.68331762741,1281.65939343074,1425.1248488836802,1846.11881331912,2373.57984371994,2673.78728253113,2972.7432646217603,3595.0371632151396,4370.5401269901395,4114.140114049221,4094.3503344202004,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.8012152446504,4124.055725953521,4531.0208055598605,5284.38018438156,gdb_hab
ALB_Gross capital formation (% of GDP),Albania,ALB,Gross capital formation (% of GDP),30.7962591863962,34.9886815804971,35.264045967212795,33.8968868065619,34.1967670412024,36.8696660470205,35.697514629582294,34.4619785970732,35.778437025600795,34.5578335598682,30.3086626557515,31.4136118408633,28.328548133659602,28.052535580742003,25.674680087602102,25.819027860237302,25.2238551267199,25.052534735067,24.101025494893303,FBCF
"ALB_Labor force, total",Albania,ALB,"Labor force, total",1326457.0,1313708.0,1312904.0,1300008.0,1286360.0,1271718.0,1260246.0,1247349.0,1234332.0,1226444.0,1225905.0,1255187.0,1286424.0,1213692.0,1235799.0,1289562.0,1302836.0,1316869.0,1318022.0,labor_force
"ALB_Population, total",Albania,ALB,"Population, total",3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,pop
"ALB_Unemployment, total (% of total labor force) (modeled ILO estimate)",Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.5729999542236,16.5669994354248,16.6730003356934,16.6840000152588,16.5860004425049,16.4599990844727,16.195999145507802,15.9659996032715,13.0600004196167,13.673999786377001,14.086000442504899,13.480999946594201,13.376000404357901,15.8660001754761,17.4899997711182,17.0799999237061,15.220000267028801,13.75,12.3400001525879,unemployment rate
