"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36605.5961430272","38008.0566852855","38112.9397144793","38490.0550396944","39369.3333518946","38550.6465738568","37659.3818001222","39251.2374254551","39195.5479669575","38910.4168183121","41022.3215541135","38927.2343098463","36822.875345117","36766.5545129317","38984.2183832207","38947.1995751088","39042.9639448297","39593.4734609622","39504.4815067681","35314.9128829597","33941.953877819","34981.8954190133","34329.7742176796","35563.3109602658","35458.6083425146","37276.0804173621","37866.1738534243","38442.4138382323","","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1189.78487818374","1235.81006314475","1200.27825577545","1286.79350847638","1315.78956539008","1460.8260746532","1484.11472886613","1758.90404304289","1957.02933798253","1904.5597991972","2075.49174746801","2116.46545444196","2102.3852337563","2068.26590401052","2057.06216379869","2058.3838315796","2033.7790021718","2065.03639781163","",
"Angola","AGO","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5783.4290641967","5649.78212964561","5148.25282361678","3788.50810690011","3717.36688074291","4139.64047270296","4551.65132921835","4728.1575598374","4792.68385068734","4740.66983328749","4727.96746742848","4766.83673589953","5240.83973207783","5218.2071362124","5593.24153695322","6210.22282694849","6681.10235395909","7341.86414546176","7864.37530359913","7643.49374899283","7692.43461558545","7675.44576763095","8036.69048157307","8140.5278507239","8239.82883704208","8036.41061004165","7568.99764333744","7310.90173803536","6933.50556019121","6670.33229673486","",
"Albania","ALB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4927.87741249129","3569.41827511617","3333.03172181427","3673.99917919553","4003.54814868956","4565.02559578827","5011.49331092049","4492.24722801312","4919.7812509814","5589.2235829959","6015.89744428744","6576.04511271096","6895.24122204126","7303.82771503569","7738.54283618405","8208.38002264685","8747.69780961595","9341.13520744122","10119.06831027","10528.7781022196","10973.4123758229","11283.0335627206","11461.8872997991","11597.9632735891","11828.232263813","12125.9314807437","12547.928084194","13037.0100155002","13601.3033805754","13965.3490058158","",
"Andorra","AND","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9694.66754397767","9651.62657722738","9933.53145426467","9927.64992791105","9957.38706122908","9913.93498771913","10136.0585185786","10311.0649173947","10624.7186743862","10606.0274973065","10940.2744766695","10893.2132947512","10731.0044838144","11051.5758058639","11742.5894074339","12117.6891979912","12559.7718851827","12827.4532338564","13261.6019438565","13063.0941395961","13347.1120659117","13531.4387961611","14032.9617032168","14155.8769862756","14219.5623947259","14441.4367849345","14663.549625423","14555.4749209837","14622.0658262307","14602.9382140106","",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111454.36044583","106103.881292928","103470.97497898","98978.2924287643","100212.8068054","101571.370611508","102211.437570572","105108.956918658","100100.43565772","97698.3726997213","102494.878140927","98621.6259696546","95908.9248008444","97795.0008584932","97758.0233454776","90894.839378841","86425.8646063394","76620.414429431","68798.4085604423","58374.5858440028","54921.8398136707","56123.4861570182","57390.7130793677","59921.7348033071","62378.6574391489","65218.7922731195","66510.8674624507","67183.6265568253","66968.2698548892","67119.1326374303","",
"Argentina","ARG","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14144.7623700052","15221.7930677631","16209.3230774449","17312.0304985789","18092.0192371617","17362.5208064408","18104.6988377672","19347.5419244468","19866.2406470539","18981.1683837255","18625.2881011086","17610.7516076702","15523.0363054169","16714.6692563706","18032.6104914271","19426.4366481069","20777.6516537547","22424.1222504319","23103.4559463136","21519.8925539826","23521.2701763288","24647.6292752459","24118.8675171552","24424.1364477871","23550.0990611716","23933.8866133496","23189.5274463482","23597.1177528578","22759.3985597615","22063.904372429","",
"Armenia","ARM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5180.05095415394","4616.93299979341","2735.7889226873","2554.1744455695","2757.22929079907","3008.23425569026","3234.06145483292","3378.93580297926","3654.0576700803","3798.67129088447","4048.25781701441","4464.38436776131","5081.51520813407","5823.72767084327","6472.13121421325","7419.85376836529","8464.46855827733","9708.40546572031","10467.5190134938","9052.38981798647","9286.18119012073","9725.27146781451","10397.6907066856","10691.3099549619","11019.838784895","11321.3557592309","11303.071699445","12115.0570089389","12714.9581875167","13653.7495323965","",
"American Samoa","ASM","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
