Pays_indic,Country Name,Country Code,Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
ALB_Exports of goods and services (% of GDP),Albania,ALB,Exports of goods and services (% of GDP),12.6408294970517,11.620439376068498,10.1972617518115,11.467112466438401,16.841765359846,20.1153637600108,21.3334375486568,20.9456511360868,20.847451385014104,22.2175512676614,23.0129901117958,25.209596818095196,28.247867259663302,25.3024021398457,25.2407157401832,27.9794485454508,29.241500741705497,28.9374866944749,28.916353743685498,28.2129788388934,27.267393304466,28.9778642158267,31.5698206428859,31.591574136620604,exports_rate
"ALB_Exports of goods and services, PPP (constant 2017 international $)",Albania,ALB,"Exports of goods and services, PPP (constant 2017 international $)",1839533397.0343926,1844927910.9538696,1442184106.2016308,1764981627.2799766,2926367097.3656135,3738092285.51044,4293105921.603136,4406430868.3523245,4628307571.5153,5204260785.293322,5688679919.287076,6599342248.082948,7836899135.027743,7546206555.457058,7779995774.329864,8943849160.990686,9585192205.23796,9619998155.340776,9709293453.743603,9641219324.985298,9524829651.687529,10457852860.984701,11826461333.65154,12316433121.922876,exports
"ALB_Exports of goods and services, PPP (constant 2017 international $) per capita",Albania,ALB,"_Exports of goods and services, PPP (constant 2017 international $) per capita",577.0571020603631,582.3575420312445,458.086208378995,564.1568491527895,941.3239212853454,1210.1196543476117,1402.8964772916877,1444.25317136041,1522.6619321372502,1719.314721999129,1888.9936829503417,2205.2593486695273,2638.671473943665,2560.3673566701946,2657.5389516959117,3070.3002693735084,3299.328342929807,3316.782112315082,3353.7080872537394,3337.0966656047335,3306.4254286844316,3636.1215621373176,4115.760679088478,4296.865841021163,exports_hab
"ALB_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Albania,ALB,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",1376.7293165307744,1386.0039763369973,1071.4894671629888,1316.877265224063,2198.864110838314,2818.102875185882,3267.9301044091503,3356.2475766334205,3560.2146844598647,4045.7265347906664,4473.224346346498,5236.550838552907,6282.843963499986,6113.595495747544,6343.53934980306,7295.71146295242,7636.465487005491,7478.09288021739,7999.800158313314,7801.607967788692,7386.096714766354,8026.991011136245,8980.742453236837,9344.633945353626,exports_labor_unit
"ALB_GDP per capita, PPP (constant 2017 international $)",Albania,ALB,"GDP per capita, PPP (constant 2017 international $)",4565.02559578827,5011.49331092049,4492.247228013121,4919.7812509814,5589.2235829959,6015.8974442874405,6576.045112710961,6895.24122204126,7303.827715035691,7738.54283618405,8208.38002264685,8747.69780961595,9341.13520744122,10119.06831027,10528.7781022196,10973.4123758229,11283.0335627206,11461.887299799098,11597.9632735891,11828.232263813,12125.9314807437,12547.928084194,13037.0100155002,13601.3033805754,gdb_hab
"ALB_GDP, PPP (constant 2017 international $)",Albania,ALB,"GDP, PPP (constant 2017 international $)",14552315553.8443,15876576188.2754,14142856595.2564,15391683237.1329,17375655311.8988,18583269634.6349,20123835700.7,21037449920.8601,22200831583.8659,23424097114.0161,24719429729.2607,26177896837.0728,27743330365.3989,29824071697.815,30823197941.0319,31965780692.4321,32779412691.2479,33244069386.2247,33577170689.6615,34172993146.3113,34931207194.3727,36089108510.8784,37461287688.1091,38986449578.8002,gdp
ALB_Gross capital formation (% of GDP),Albania,ALB,Gross capital formation (% of GDP),21.2785134595821,18.063783692701897,16.659496449761697,19.742581241273697,19.734708099061102,30.7962591863962,34.9886815804971,35.264045967212795,33.8968868065619,34.1967670412024,36.8696660470205,35.697514629582294,34.4619785970732,35.778437025600795,34.5578335598682,30.3086626557515,31.4136118408633,28.328548133659602,28.052535580742003,25.674680087602102,25.819027860237302,25.2238551267199,25.052534735067,24.101025494893303,FBCF
"ALB_Labor force, total",Albania,ALB,"Labor force, total",1336162.0,1331113.0,1345962.0,1340278.0,1330854.0,1326457.0,1313708.0,1312904.0,1300008.0,1286360.0,1271718.0,1260246.0,1247349.0,1234332.0,1226444.0,1225905.0,1255187.0,1286424.0,1213692.0,1235799.0,1289562.0,1302836.0,1316869.0,1318022.0,labor_force
"ALB_Population, total",Albania,ALB,"Population, total",3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,pop
"ALB_Unemployment, total (% of total labor force) (modeled ILO estimate)",Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",16.5219993591309,16.5499992370605,16.5249996185303,16.5160007476807,16.6110000610352,16.5729999542236,16.5669994354248,16.6730003356934,16.6840000152588,16.5860004425049,16.4599990844727,16.195999145507802,15.9659996032715,13.0600004196167,13.673999786377001,14.086000442504899,13.480999946594201,13.376000404357901,15.8660001754761,17.4899997711182,17.0799999237061,15.220000267028801,13.75,12.3400001525879,unemployment rate
ARG_Exports of goods and services (% of GDP),Argentina,ARG,Exports of goods and services (% of GDP),9.68041025959015,10.4285967560139,10.5608501019262,10.4155819610919,9.82717451494235,10.986375232557599,11.5790080825317,28.3825969991682,25.9309429264224,23.8476194239892,23.245876733857603,23.0266946038115,22.6627503115066,22.060900382624197,19.5609850560818,18.933823405370898,18.4492091453155,16.237859462024602,14.6171733884386,14.405478589375598,10.705652050453802,12.5270951690009,11.320283359718001,14.619831249440699,exports_rate
"ARG_Exports of goods and services, PPP (constant 2017 international $)",Argentina,ARG,"Exports of goods and services, PPP (constant 2017 international $)",58537908042.98668,66547481630.326866,72857573137.31667,74621953162.623,68022759108.84437,75446628109.50696,76010658898.57092,166019788538.75125,165083154872.53055,165528887208.59604,175634468099.33548,187978743450.14597,201672524957.81952,204281777975.3535,170412416180.9999,181650386637.18317,187628071209.85245,163443673868.72528,150669473646.54422,144756469825.46378,110516114448.69957,126628893207.40039,117655168009.88605,148050368029.32867,exports
"ARG_Exports of goods and services, PPP (constant 2017 international $) per capita",Argentina,ARG,"_Exports of goods and services, PPP (constant 2017 international $) per capita",1680.763245470166,1888.0660356814822,2043.2649010481564,2069.1845771816566,1865.3125420437711,2046.244038932691,2039.1503520467172,4405.840836601063,4334.271345209728,4300.3483222058885,4515.845516999875,4784.406392153876,5081.9228351623615,5096.830401259713,4209.502966569395,4453.475757886262,4547.2926743521,3916.3878112675443,3570.118373201869,3392.504478033813,2562.2786229753488,2904.974172445628,2671.2605943498324,3327.385662824784,exports_hab
"ARG_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Argentina,ARG,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",3920.328106019176,4368.627200681707,4675.315484403246,4698.0370791857285,4229.578784669348,4621.621057151147,4601.13838589584,10005.545095507892,9722.865056628985,9526.786502237284,10023.743397061147,10540.677538856235,11294.909891797693,11426.499323458094,9348.38013981502,9968.273718565537,10110.612804374441,8707.263772897955,7958.728439680436,7615.048632364924,5708.31658700807,6429.020475738493,5872.40329813853,7203.807845476038,exports_labor_unit
"ARG_GDP per capita, PPP (constant 2017 international $)",Argentina,ARG,"GDP per capita, PPP (constant 2017 international $)",17362.5208064408,18104.6988377672,19347.5419244468,19866.2406470539,18981.1683837255,18625.288101108603,17610.7516076702,15523.0363054169,16714.669256370602,18032.610491427098,19426.4366481069,20777.6516537547,22424.1222504319,23103.4559463136,21519.8925539826,23521.2701763288,24647.629275245898,24118.8675171552,24424.1364477871,23550.0990611716,23933.8866133496,23189.5274463482,23597.117752857797,22759.3985597615,gdb_hab
"ARG_GDP, PPP (constant 2017 international $)",Argentina,ARG,"GDP, PPP (constant 2017 international $)",604704826275.256,638124986393.31,689883602495.486,716445355059.163,692190405344.027,686729030389.609,656452248385.956,584935157778.609,636626116300.301,694110738122.919,755551060130.6941,816351398602.519,889885482502.2009,925990210881.2009,871185248045.6559,959396223087.4879,1016997908864.26,1006559234306.53,1030770242937.09,1004870951890.66,1032315583654.85,1010840035132.42,1039330591569.37,1012668104736.11,gdp
ARG_Gross capital formation (% of GDP),Argentina,ARG,Gross capital formation (% of GDP),18.5004105114971,19.6238724452255,20.8260515469902,20.9707691548621,17.8629278753399,17.5334874363903,15.6259653308051,10.8539052402585,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.053112359211198,17.705533806204603,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.070704884158303,17.6632278606203,18.2125671743459,16.0469030589825,FBCF
"ARG_Labor force, total",Argentina,ARG,"Labor force, total",14931890.0,15233042.0,15583456.0,15883645.0,16082632.0,16324711.0,16519968.0,16592778.0,16978859.0,17375102.0,17521844.0,17833649.0,17855169.0,17877897.0,18229085.0,18222853.0,18557537.0,18770957.0,18931350.0,19009264.0,19360544.0,19696452.0,20035267.0,20551682.0,labor_force
"ARG_Population, total",Argentina,ARG,"Population, total",34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,pop
"ARG_Unemployment, total (% of total labor force) (modeled ILO estimate)",Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",18.7999992370605,17.1100006103516,14.8199996948242,12.6499996185303,14.0500001907349,15.0,17.3199996948242,19.590000152587898,15.359999656677198,13.522000312805199,11.5059995651245,10.0769996643066,8.47000026702881,7.83699989318848,8.64500045776367,7.71400022506714,7.17999982833862,7.21700000762939,7.099999904632571,7.26800012588501,7.75,7.9770002365112305,8.34700012207031,9.22000026702881,unemployment rate
ARM_Exports of goods and services (% of GDP),Armenia,ARM,Exports of goods and services (% of GDP),23.927920828361696,23.2400035043381,20.273269388754198,19.003019971673698,20.758246952656698,22.1614188089398,24.145854395630604,27.832108365994,30.4829978923981,28.1907438231723,27.313197950011503,22.145981435513395,18.189356981972498,14.265729573976701,14.6709007461363,19.7484153168252,22.5231882640131,27.5618114828439,28.3534851384818,28.5603816555446,29.7253912120334,33.7442798606396,38.21604565504639,39.392894028607294,exports_rate
"ARM_Exports of goods and services, PPP (constant 2017 international $)",Armenia,ARM,"Exports of goods and services, PPP (constant 2017 international $)",2315872542.946913,2381222216.2550287,2146231001.069468,2158614147.7774177,2435809893.7767406,2753887768.8231792,3288529995.8535113,4290933299.503316,5357574074.80215,5474939461.685247,6041837809.689686,5545463725.568698,5178699942.441172,4341852786.437437,3835580040.1867495,5276639434.876074,6300887353.979853,8265600138.0922985,8783617276.35483,9166229304.203495,9845414093.528452,11198872336.374912,13634158578.458965,14784826124.589184,exports
"ARM_Exports of goods and services, PPP (constant 2017 international $) per capita",Armenia,ARM,"_Exports of goods and services, PPP (constant 2017 international $) per capita",719.8079110332214,751.5959954356179,685.020757811051,694.381308821833,788.5375674814684,897.1513692942086,1077.963749100944,1414.2928193623409,1775.246783162162,1824.5419304984296,2026.5993473549975,1874.5396355309636,1765.8965274171992,1493.2679555696234,1328.0671253501446,1833.8736284979434,2190.4412018822113,2865.791911145855,3031.3589791891554,3147.308014791736,3365.317289937476,3814.1401471094805,4629.895717670982,5008.790004590181,exports_hab
"ARM_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Armenia,ARM,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",1829.2153000219682,1911.1868367994168,1740.0565587797469,1759.5227228304586,1991.8470948137121,2258.9848499306686,2692.316505672366,3508.6628765295472,4375.86960766953,4461.933347909345,4905.307494953849,4492.542133255478,4179.896866583563,3492.9814487896733,3061.102692394729,4027.366466449351,4696.130377508146,6118.039718177806,6456.880417800441,6799.464797889366,7376.085178047575,8548.359455303922,10458.426113742664,11345.948542881577,exports_labor_unit
"ARM_GDP per capita, PPP (constant 2017 international $)",Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",3008.23425569026,3234.06145483292,3378.93580297926,3654.0576700803003,3798.67129088447,4048.25781701441,4464.38436776131,5081.51520813407,5823.72767084327,6472.131214213249,7419.85376836529,8464.468558277329,9708.405465720309,10467.5190134938,9052.38981798647,9286.18119012073,9725.27146781451,10397.6907066856,10691.3099549619,11019.838784895,11321.3557592309,11303.071699445,12115.057008938898,12714.958187516699,gdb_hab
"ARM_GDP, PPP (constant 2017 international $)",Armenia,ARM,"GDP, PPP (constant 2017 international $)",9678536466.07655,10246221416.4922,10586506596.0205,11359321576.2289,11734179188.3105,12426495760.7871,13619439353.7327,15417205348.1442,17575614097.1234,19421053577.114,22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153,gdp
ARM_Gross capital formation (% of GDP),Armenia,ARM,Gross capital formation (% of GDP),20.808569344227397,21.0954471662552,23.2656792922768,22.686351869990396,20.768880470385803,21.92233140183,22.904355286200104,25.418296761686896,28.347949983094697,29.122557700026398,35.765438994108,42.2254576837845,44.351622975563295,47.942835821347295,41.1450508029059,38.8147549853077,31.921798979847697,24.6809527475996,22.152490072631302,21.2830406859193,20.7305301265762,18.015508673417102,18.421740214872802,22.3997393267701,FBCF
"ARM_Labor force, total",Armenia,ARM,"Labor force, total",1266047.0,1245939.0,1233426.0,1226818.0,1222890.0,1219082.0,1221450.0,1222954.0,1224345.0,1227033.0,1231694.0,1234371.0,1238954.0,1243022.0,1253006.0,1310196.0,1341719.0,1351021.0,1360350.0,1348081.0,1334775.0,1310061.0,1303653.0,1303093.0,labor_force
"ARM_Population, total",Armenia,ARM,"Population, total",3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,2951776.0,pop
"ARM_Unemployment, total (% of total labor force) (modeled ILO estimate)",Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.699999809265139,9.30000019073486,10.8000001907349,9.39999961853027,11.1999998092651,11.0539999008179,10.9329996109009,10.8920001983643,10.7829999923706,10.597999572753901,10.392999649047901,10.0900001525879,9.8120002746582,13.4750003814697,18.436000823974602,19.007999420165998,18.443000793457,17.3010005950928,16.179000854492198,17.497999191284197,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917,unemployment rate
