Pays_indic,Country Name,Country Code,Indicator Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Simple Indicator
ARM_Exports of goods and services (% of GDP),Armenia,ARM,Exports of goods and services (% of GDP),27.313197950011503,22.145981435513395,18.189356981972498,14.265729573976701,14.6709007461363,19.7484153168252,22.5231882640131,27.5618114828439,28.3534851384818,28.5603816555446,29.7253912120334,33.7442798606396,38.21604565504639,39.392894028607294,exports_rate
"ARM_Exports of goods and services, PPP (constant 2017 international $)",Armenia,ARM,"Exports of goods and services, PPP (constant 2017 international $)",6041837809.689686,5545463725.568698,5178699942.441172,4341852786.437437,3835580040.1867495,5276639434.876074,6300887353.979853,8265600138.0922985,8783617276.35483,9166229304.203495,9845414093.528452,11198872336.374912,13634158578.458965,14784826124.589184,exports
"ARM_Exports of goods and services, PPP (constant 2017 international $) per capita",Armenia,ARM,"_Exports of goods and services, PPP (constant 2017 international $) per capita",2026.5993473549975,1874.5396355309636,1765.8965274171992,1493.2679555696234,1328.0671253501446,1833.8736284979434,2190.4412018822113,2865.791911145855,3031.3589791891554,3147.308014791736,3365.317289937476,3814.1401471094805,4629.895717670982,5008.790004590181,exports_hab
"ARM_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Armenia,ARM,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",4905.307494953849,4492.542133255478,4179.896866583563,3492.9814487896733,3061.102692394729,4027.366466449351,4696.130377508146,6118.039718177806,6456.880417800441,6799.464797889366,7376.085178047575,8548.359455303922,10458.426113742664,11345.948542881577,exports_labor_unit
"ARM_Foreign direct investment, net inflows (% of GDP)",Armenia,ARM,"Foreign direct investment, net inflows (% of GDP)",5.96010633958357,7.3073150316137,7.25233197719082,8.09234920917782,8.788694552480889,5.716037845460041,6.44066836705362,4.67672787765567,3.1119314812579604,3.50211424719527,1.74473699241328,3.1645082206932402,2.17684677683483,2.0400333012778202,IDE
"ARM_GDP per capita, PPP (constant 2017 international $)",Armenia,ARM,"GDP per capita, PPP (constant 2017 international $)",7419.85376836529,8464.468558277329,9708.405465720309,10467.5190134938,9052.38981798647,9286.18119012073,9725.27146781451,10397.6907066856,10691.3099549619,11019.838784895,11321.3557592309,11303.071699445,12115.057008938898,12714.958187516699,gdb_hab
"ARM_GDP, PPP (constant 2017 international $)",Armenia,ARM,"GDP, PPP (constant 2017 international $)",22120580024.1606,25040496587.2317,28471044620.0698,30435546698.9769,26144134614.2082,26719305575.777,27975112937.4842,29989321069.253,30978968664.5384,32094211536.6445,33121226305.4854,33187468758.0387,35676528915.4363,37531708418.9153,gdp
ARM_Gross capital formation (% of GDP),Armenia,ARM,Gross capital formation (% of GDP),35.765438994108,42.2254576837845,44.351622975563295,47.942835821347295,41.1450508029059,38.8147549853077,31.921798979847697,24.6809527475996,22.152490072631302,21.2830406859193,20.7305301265762,18.015508673417102,18.421740214872802,22.3997393267701,FBCF
"ARM_Labor force, total",Armenia,ARM,"Labor force, total",1231694.0,1234371.0,1238954.0,1243022.0,1253006.0,1310196.0,1341719.0,1351021.0,1360350.0,1348081.0,1334775.0,1310061.0,1303653.0,1303093.0,labor_force
ARM_Labor tax and contributions (% of commercial profits),Armenia,ARM,Labor tax and contributions (% of commercial profits),19.9,19.9,23.0,23.0,23.0,23.0,23.0,23.0,19.4,0.0,0.0,0.0,0.0,0.0,labor_tax_contrib
ARM_Other taxes payable by businesses (% of commercial profits),Armenia,ARM,Other taxes payable by businesses (% of commercial profits),0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,other_taxes_entreprise
"ARM_Population, total",Armenia,ARM,"Population, total",2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,2951776.0,pop
ARM_Profit tax (% of commercial profits),Armenia,ARM,Profit tax (% of commercial profits),15.8,15.8,14.8,14.8,14.8,14.8,14.9,14.9,15.7,19.3,19.1,17.6,17.6,17.6,profit_tax
ARM_Research and development expenditure (% of GDP),Armenia,ARM,Research and development expenditure (% of GDP),0.25761,0.24056999999999998,0.21106999999999998,0.22438000000000002,0.29093,0.24139000000000002,0.27014,0.23853000000000002,0.22216,0.24151,0.25001999999999996,0.23305,0.22788000000000003,0.18913,RetD
ARM_Total tax and contribution rate (% of profit),Armenia,ARM,Total tax and contribution rate (% of profit),36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20.0,18.5,18.5,18.5,total_tax_contrib
"ARM_Unemployment, total (% of total labor force) (modeled ILO estimate)",Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",10.392999649047901,10.0900001525879,9.8120002746582,13.4750003814697,18.436000823974602,19.007999420165998,18.443000793457,17.3010005950928,16.179000854492198,17.497999191284197,18.260999679565398,17.617000579834002,17.7049999237061,17.496000289917,unemployment rate
AUT_Exports of goods and services (% of GDP),Austria,AUT,Exports of goods and services (% of GDP),48.61975220469321,50.8416688618235,52.560869422371,53.2488606164087,45.207416560843704,51.2621603273359,53.94867085163939,53.9736761965302,53.4412932967224,53.386579046242396,53.089060558795794,52.4063936498056,54.0537009052279,55.690950654202005,exports_rate
"AUT_Exports of goods and services, PPP (constant 2017 international $)",Austria,AUT,"Exports of goods and services, PPP (constant 2017 international $)",198470314124.93866,214708914564.5329,230242968159.3661,236663250913.1512,193359337805.58582,223284389769.06415,241854285760.42578,243612835401.12274,241271418955.27945,242618229435.96402,243713789212.0442,245366083918.53888,259151602476.7319,273890079294.3545,exports
"AUT_Exports of goods and services, PPP (constant 2017 international $) per capita",Austria,AUT,"_Exports of goods and services, PPP (constant 2017 international $) per capita",24121.83263956247,25966.650936294478,27755.20812212304,28439.988544505846,23175.338867449555,26697.788337029295,28820.85019112774,28898.35059149206,28452.412150027125,28388.500249224817,28198.805629126295,28084.629508473812,29457.193327874083,30981.214715100443,exports_hab
"AUT_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Austria,AUT,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",49405.07495259482,52697.231403038764,55311.28729676922,56221.78696477105,45424.22386250194,52211.23851683156,56176.751612901724,55970.05057053193,54907.54025936348,54982.394816896776,54634.14326697372,54080.616806704034,56747.57753539709,59525.624937240354,exports_labor_unit
"AUT_Foreign direct investment, net inflows (% of GDP)",Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",25.665397147098304,3.1251494779180096,17.7173406826104,1.46438004562602,3.5734768412160802,-5.61565003443295,5.33121321219852,1.2746210241656102,0.10489199786555199,0.387373361663698,-2.08889644070062,-7.31588324378827,3.2400857728781003,-6.274569250041339,IDE
"AUT_GDP per capita, PPP (constant 2017 international $)",Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",49613.2364846442,51073.5613476145,52805.8390721936,53409.571989493495,51264.4619633558,52080.88805963269,53422.7252241042,53541.56438458389,53240.5007342368,53175.349978194405,53116.038092059105,53590.0823402261,54496.1636938075,55630.608476177695,gdb_hab
"AUT_GDP, PPP (constant 2017 international $)",Austria,AUT,"GDP, PPP (constant 2017 international $)",408209225932.214,422308943374.901,438050151547.474,444447539672.28204,427715964581.492,435573507521.485,448304438167.77795,451354905887.96295,451470022657.698,454455471338.242,459065929302.201,468198757499.21796,479433596843.075,491803562476.427,gdp
AUT_Gross capital formation (% of GDP),Austria,AUT,Gross capital formation (% of GDP),23.825245637086,23.6103275858496,24.5843049022429,24.467460740570502,22.7753209387926,22.607847118507298,24.140474472755898,23.9771068871648,23.7233900013028,23.5315427854214,23.805525692784098,24.2563259569593,24.835735926173,25.5433717122365,FBCF
"AUT_Labor force, total",Austria,AUT,"Labor force, total",4017205.0,4074387.0,4162676.0,4209458.0,4256745.0,4276558.0,4305238.0,4352557.0,4394140.0,4412653.0,4460833.0,4537043.0,4566743.0,4601213.0,labor_force
AUT_Labor tax and contributions (% of commercial profits),Austria,AUT,Labor tax and contributions (% of commercial profits),35.3,34.5,34.5,34.5,34.6,34.6,34.8,34.7,34.1,34.3,34.3,34.2,34.2,33.8,labor_tax_contrib
AUT_Other taxes payable by businesses (% of commercial profits),Austria,AUT,Other taxes payable by businesses (% of commercial profits),0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,other_taxes_entreprise
"AUT_Population, total",Austria,AUT,"Population, total",8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,pop
AUT_Profit tax (% of commercial profits),Austria,AUT,Profit tax (% of commercial profits),21.2,16.0,16.0,16.0,16.4,16.1,15.4,17.0,17.1,16.8,16.8,16.9,17.0,17.1,profit_tax
AUT_Research and development expenditure (% of GDP),Austria,AUT,Research and development expenditure (% of GDP),2.37324,2.3592299999999997,2.41843,2.56945,2.59674,2.7261,2.6686799999999997,2.91472,2.95492,3.08429,3.0497900000000002,3.12588,3.05212,3.17177,RetD
AUT_Total tax and contribution rate (% of profit),Austria,AUT,Total tax and contribution rate (% of profit),57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,total_tax_contrib
"AUT_Unemployment, total (% of total labor force) (modeled ILO estimate)",Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",5.627999782562259,5.24300003051758,4.85799980163574,4.12799978256226,5.30100011825562,4.82000017166138,4.56400012969971,4.86499977111816,5.33500003814697,5.619999885559079,5.72300004959106,6.01399993896484,5.499000072479251,4.84800004959106,unemployment rate
AZE_Exports of goods and services (% of GDP),Azerbaijan,AZE,Exports of goods and services (% of GDP),62.9411060091835,66.5041448400209,68.1289116905555,65.7761378471842,51.6357456848728,54.3047215353821,56.4269805307016,52.9746801915106,48.415833075521604,43.2735566584935,37.79477749172489,46.4276493913136,48.547864732761,54.092293862058604,exports_rate
"AZE_Exports of goods and services, PPP (constant 2017 international $)",Azerbaijan,AZE,"Exports of goods and services, PPP (constant 2017 international $)",38146239929.42918,54197498428.06947,69659185940.9852,74376684587.5425,63857724237.21456,70374816772.7097,71974847960.95587,69059856764.20332,66804941127.92294,61379971409.07829,54171423939.2809,64506287615.67023,67555717946.0843,76400313446.94174,exports
"AZE_Exports of goods and services, PPP (constant 2017 international $) per capita",Azerbaijan,AZE,"_Exports of goods and services, PPP (constant 2017 international $) per capita",4545.6293820110195,6387.787027958993,8117.556307434212,8487.194991389471,7137.139813595602,7772.502352764368,7846.310319798283,7429.158935298337,7094.228828656668,6437.2797969558815,5614.002442164797,6610.7327765353775,6855.64153743795,7686.325313424398,exports_hab
"AZE_Exports of goods and services, PPP (constant 2017 international $) per labor unit",Azerbaijan,AZE,"_Exports of goods and services, PPP (constant 2017 international $) per labor unit",9810.145314899202,13621.548381114704,17085.9684788859,17631.006872450525,14651.109285709925,15798.202888897702,15842.868341349076,14924.126191075311,14205.67771018073,12811.325778532251,11110.247788577542,12979.847906236728,13420.256245817684,15006.783165236133,exports_labor_unit
"AZE_Foreign direct investment, net inflows (% of GDP)",Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",33.795047142343805,21.379063620360398,13.900714710248401,8.16090965787349,6.54760084266112,6.33804472365477,6.800620682769481,7.59608356760687,3.5319313988862504,5.8881089160048194,7.62633633321074,11.8826533237788,7.01687943666137,2.97794611197123,IDE
