"country","temps","index","VA","Emploi","W","Productivite","LAB","chomage","pop","export","VA_pop","Part_lab","var","value","rate2010 in NAT/US$","Invest_pop","Emploi_scale"
"1","AUT",1997,1,168102.8,3627.4,21.3435645520682,79.2850262622025,117186.78371079,5.14900016784668,7968041,15673.8622211414,0.00351012463686796,0.697113811969757,"Iq_GFCF",58755.5390625,0.754309,0.00737390019234339,-0.359656114189897
"2","BGR",1997,2,17196.3,3503.92,3.17265056626242,63.953596047841,7777.19996210933,13.6999998092651,8312068,4956.16384002373,0.000168469425584057,0.452260076999664,"Iq_GFCF",4204.22265625,1.477392,0.000505797432871098,-0.363813269490026
"3","CYP",1997,3,7723.6,299.32,11.8379808412409,80.9781286423691,5000.44387216568,4.56099987030029,891190,15013.9102886677,0.0128922843314309,0.647423982620239,"Iq_GFCF",2945.46728515625,0.754309,0.003305094632072,-0.471701347517181
"4","CZE",1997,4,1783441,5095.99,138.197881619915,65.7512844430912,952050.140179515,4.27099990844727,10304131,9559.23026678198,0.000879513337398957,0.533827662467957,"Iq_GFCF",749791.25,19.09825,0.0727660828458023,-0.310213640087076
"5","DEU",1997,5,1785042,37947,23.3643040602917,84.0691875334025,1218240.84782803,9.86299991607666,82034771,10242.6311648787,0.000351643998171764,0.682471811771393,"Iq_GFCF",469336.96875,0.754309,0.00572119557388659,0.795769112877677
"6","DNK",1997,6,984056,2674,225.635366502176,88.101847612101,639467.569438934,5.40000009536743,5284991,17140.9924295174,0.00626441045837729,0.649828433990479,"Iq_GFCF",287307.65625,5.624075,0.0543629414411491,-0.391753877901777
"7","EST",1997,7,3934.1,615.11,3.8744384883511,52.7628438073814,2396.89173099399,10.3690004348755,1399535,10954.3395601084,0.00266172965943071,0.609260499477386,"Iq_GFCF",1805.13305664062,0.754595,0.00128980915564143,-0.46106976287005
"8","GRC",1997,8,103437.2,4116.42,10.1736829027239,83.7192445565045,59832.4863338709,9.57699966430664,10661259,4265.52958149572,0.00120645319609721,0.578442633152008,"Iq_GFCF",29985.244140625,0.754309,0.00281254250934388,-0.343192459469545
"9","ESP",1997,9,475301,14570.1,18.2895771663133,92.7157250683734,318172.144369364,20.6979999542236,40057389,7879.98817821278,0.00039269390683279,0.669411897659302,"Iq_GFCF",168530.708086013,0.754309,0.00420723148196237,0.00874770264457474
"10","FIN",1997,10,96064,2154.5,21.1571552161595,79.4942442243846,64728.8499832153,14.9670000076294,5139835,13007.1867401522,0.00482073237260282,0.67380964756012,"Iq_GFCF",30743.498046875,0.754309,0.00598141731142634,-0.409243691462005
"11","FRA",1997,11,1154044,23963,25.4212252000575,85.3659929863741,790204.963546038,12.5659999847412,59964851,9296.64843997659,0.000425480401225844,0.684726893901825,"Iq_GFCF",320041.4375,0.754309,0.00533715055007808,0.324974978467225
"12","IRL",1997,12,61674.6,1430.21,19.3962922269543,69.6604057941056,36571.7949571967,10.2030000686646,3674171,29187.5856914447,0.00605673150770093,0.592979848384857,"Iq_GFCF",20906.65625,0.754309,0.0056901696328233,-0.433628093894224
"13","ITA",1997,13,982110.1,22113.8,21.0088821711454,97.001476621925,648707.887543225,11.9989995956421,56890372,9738.71779123345,0.00040228453808651,0.660524606704712,"Iq_GFCF",274472.15625,0.754309,0.00482458009327132,0.262718648851106
