country3,year,taux d'imposition sur bénéfices,salaire horaire minimum en US$ PPA,indice protection de l'emploi,% des 25-64ans diplomes du superieur,IDE entrants en % PIB
ABW,2000,49.451,NA,NA,NA,NA
ABW,2001,49.45,NA,NA,NA,NA
ABW,2002,49.45,NA,NA,NA,NA
ABW,2003,35,NA,NA,NA,NA
ABW,2004,35,NA,NA,NA,NA
ABW,2005,35,NA,NA,NA,NA
ABW,2006,35,NA,NA,NA,NA
ABW,2007,28,NA,NA,NA,NA
ABW,2008,28,NA,NA,NA,NA
ABW,2009,28,NA,NA,NA,NA
ABW,2010,28,NA,NA,NA,NA
ABW,2011,28,NA,NA,NA,NA
ABW,2012,28,NA,NA,NA,NA
ABW,2013,28,NA,NA,NA,NA
ABW,2014,28,NA,NA,NA,NA
ABW,2015,28,NA,NA,NA,NA
ABW,2016,25,NA,NA,NA,NA
ABW,2017,25,NA,NA,NA,NA
ABW,2018,25,NA,NA,NA,NA
ABW,2019,25,NA,NA,NA,NA
ABW,2020,25,NA,NA,NA,NA
AGO,2000,35,NA,NA,NA,NA
AGO,2001,35,NA,NA,NA,NA
AGO,2002,35,NA,NA,NA,NA
AGO,2003,35,NA,NA,NA,NA
AGO,2004,35,NA,NA,NA,NA
AGO,2005,35,NA,NA,NA,NA
AGO,2006,35,NA,NA,NA,NA
AGO,2007,35,NA,NA,NA,NA
AGO,2008,35,NA,NA,NA,NA
AGO,2009,35,NA,NA,NA,NA
AGO,2010,35,NA,NA,NA,NA
AGO,2011,35,NA,NA,NA,NA
AGO,2012,35,NA,NA,NA,NA
AGO,2013,35,NA,NA,NA,NA
AGO,2014,30,NA,NA,NA,NA
AGO,2015,30,NA,NA,NA,NA
AGO,2016,30,NA,NA,NA,NA
AGO,2017,30,NA,NA,NA,NA
AGO,2018,30,NA,NA,NA,NA
AGO,2019,30,NA,NA,NA,NA
AGO,2020,30,NA,NA,NA,NA
AIA,2000,0,NA,NA,NA,NA
AIA,2001,0,NA,NA,NA,NA
AIA,2002,0,NA,NA,NA,NA
AIA,2003,0,NA,NA,NA,NA
AIA,2004,0,NA,NA,NA,NA
AIA,2005,0,NA,NA,NA,NA
AIA,2006,0,NA,NA,NA,NA
AIA,2007,0,NA,NA,NA,NA
AIA,2008,0,NA,NA,NA,NA
AIA,2009,0,NA,NA,NA,NA
AIA,2010,0,NA,NA,NA,NA
AIA,2011,0,NA,NA,NA,NA
AIA,2012,0,NA,NA,NA,NA
AIA,2013,0,NA,NA,NA,NA
AIA,2014,0,NA,NA,NA,NA
AIA,2015,0,NA,NA,NA,NA
AIA,2016,0,NA,NA,NA,NA
AIA,2017,0,NA,NA,NA,NA
AIA,2018,0,NA,NA,NA,NA
AIA,2019,0,NA,NA,NA,NA
